Time	yH	yL	xP	xS	SZA	Ghc	t2m	sp	hcc	lcc	mcc	asn	rsn	sd	tcsw	fal	tco3	tcwv	W	rh
1	2024-04-01 00:15:00	448.56	471.6	272.51	406.5	63.39	428.43	-1.9	993.39	0	0	0	0.88	0.1	0	0	0.166574	448.91	3.57	3.37	43.77
2	2024-04-01 00:30:00	488.8	516	316.67	449	61.13	472.07	-1.9	993.39	0	0	0	0.88	0.1	0	0	0.166574	448.91	3.57	3.37	43.77
3	2024-04-01 00:45:00	528.31	558.33	359.7	483.3	58.94	513.87	-1.9	993.39	0	0	0	0.88	0.1	0	0	0.166574	448.91	3.57	3.37	43.77
4	2024-04-01 01:00:00	568.89	603.67	405.04	524.3	56.83	553.53	-1.9	993.39	0	0	0	0.88	0.1	0	0	0.166574	448.91	3.57	3.37	43.77
5	2024-04-01 01:15:00	605.12	642.2	445.35	557.8	54.82	590.81	-0.96	993.47	0	0	0	0.88	0.1	0	0	0.166517	448.35	3.55	3.41	41.16
6	2024-04-01 01:30:00	637.69	677.2	462.64	593.15	52.92	625.48	-0.02	993.56	0	0	0	0.88	0.1	0	0	0.16646	447.78	3.54	3.46	38.55
7	2024-04-01 01:45:00	668.54	708.73	492.08	620.5	51.13	657.34	0.92	993.64	0	0	0	0.88	0.1	0	0	0.166402	447.22	3.52	3.5	35.94
8	2024-04-01 02:00:00	692.5	735.13	525.07	648.65	49.49	686.22	1.86	993.73	0	0	0	0.88	0.1	0	0	0.166345	446.65	3.5	3.55	33.33
9	2024-04-01 02:15:00	714.15	756.67	552.58	680.85	48	712.01	1.87	993.65	0	0	0	0.88	0.1	0	0	0.166257	446.21	3.5	3.59	33.12
10	2024-04-01 02:30:00	734.93	777.47	575.11	697.8	46.67	734.57	1.88	993.57	0	0	0	0.88	0.1	0	0	0.16617	445.77	3.49	3.63	32.92
11	2024-04-01 02:45:00	754.64	797.33	586.54	719.5	45.54	753.75	1.89	993.49	0	0	0	0.88	0.1	0	0	0.166082	445.33	3.48	3.67	32.72
12	2024-04-01 03:00:00	771.21	815.73	593.96	715.55	44.6	769.47	1.9	993.41	0	0	0	0.88	0.1	0	0	0.165994	444.89	3.47	3.71	32.52
13	2024-04-01 03:15:00	781.26	826.27	596.3	705.8	43.89	781.54	1.92	993.26	0	0	0	0.88	0.1	0	0	0.165857	444.51	3.45	3.7	32.37
14	2024-04-01 03:30:00	790.26	833.87	597.27	706.45	43.39	789.93	1.94	993.11	0	0	0	0.88	0.1	0	0	0.16572	444.14	3.44	3.7	32.23
15	2024-04-01 03:45:00	793.03	838.47	596.01	714.6	43.14	794.7	1.96	992.96	0	0	0	0.88	0.1	0	0	0.165582	443.76	3.42	3.69	32.08
16	2024-04-01 04:00:00	794.1	839	591.68	693.8	43.12	795.83	1.98	992.81	0	0	0	0.88	0.1	0	0	0.165445	443.39	3.41	3.68	31.93
17	2024-04-01 04:15:00	791.17	835.87	589.63	689.9	43.34	793.32	2.52	992.7	0	0	0	0.88	0.1	0	0	0.165262	443.29	3.4	3.63	30.84
18	2024-04-01 04:30:00	786.46	831.07	581.65	668.45	43.8	787.19	3.06	992.6	0	0	0	0.88	0.1	0	0	0.165079	443.2	3.38	3.58	29.75
19	2024-04-01 04:45:00	778.16	822.67	568.96	648.7	44.48	777.48	3.61	992.49	0	0	0	0.88	0.1	0	0	0.164896	443.1	3.37	3.53	28.65
20	2024-04-01 05:00:00	764.37	808	553.1	623.85	45.39	764.24	4.15	992.39	0	0	0	0.88	0.1	0	0	0.164712	443	3.35	3.48	27.56
21	2024-04-01 05:15:00	747.33	789.6	535.06	603.25	46.49	747.54	4.18	992.32	0	0	0	0.88	0.1	0	0	0.164487	443.29	3.35	3.42	27.63
22	2024-04-01 05:30:00	725.93	766.6	513.45	609.05	47.79	727.47	4.21	992.25	0	0	0	0.88	0.1	0	0	0.164262	443.57	3.34	3.37	27.71
23	2024-04-01 05:45:00	700.88	739.73	493.65	582.2	49.26	704.14	4.24	992.18	0	0	0	0.88	0.1	0	0	0.164037	443.85	3.33	3.31	27.79
24	2024-04-01 06:00:00	673.34	709.2	471.67	560.8	50.88	677.66	4.27	992.11	0	0	0	0.88	0.1	0	0	0.163812	444.14	3.32	3.26	27.86
25	2024-04-01 06:15:00	643.81	677	453.57	531.95	52.64	647.5	4.3	992.12	0	0	0	0.88	0.1	0	0	0.163576	443.84	3.32	3.21	27.82
26	2024-04-01 06:30:00	611.56	641.07	432.01	494.4	54.53	613.82	4.32	992.12	0	0	0	0.88	0.1	0	0	0.163339	443.54	3.32	3.17	27.78
27	2024-04-01 06:45:00	575.92	602.27	408.35	472.2	56.52	577.47	4.35	992.13	0	0	0	0.88	0.1	0	0	0.163103	443.25	3.32	3.14	27.74
28	2024-04-01 07:00:00	538.51	559.93	380.27	451.05	58.62	538.66	4.38	992.14	0	0	0	0.88	0.1	0	0	0.162866	442.95	3.32	3.1	27.7
29	2024-04-01 07:15:00	499.19	515.87	345.57	423.25	60.79	497.61	4.49	992.19	0	0	0	0.88	0.1	0	0	0.162691	442.43	3.32	2.99	27.72
30	2024-04-01 07:30:00	460.69	470	312.34	392.6	63.04	454.57	4.6	992.25	0	0	0	0.88	0.1	0	0	0.162515	441.91	3.32	2.89	27.74
31	2024-04-01 07:45:00	415.6	420.53	275.02	363.65	65.35	409.82	4.71	992.31	0	0	0	0.88	0.1	0	0	0.16234	441.39	3.32	2.79	27.75
32	2024-04-01 08:00:00	370.44	369.8	233.94	322.85	67.71	363.69	4.82	992.37	0	0	0	0.88	0.1	0	0	0.162164	440.87	3.32	2.69	27.77
33	2024-04-01 08:15:00	324.18	319	193.79	283.65	70.12	316.55	4.62	992.37	0	0	0	0.88	0.1	0	0	0.162126	441.01	3.31	2.32	32.27
34	2024-04-01 08:30:00	276.28	267.53	158.89	248.15	72.56	268.85	4.41	992.36	0	0	0	0.88	0.1	0	0	0.162088	441.16	3.31	1.96	36.77
35	2024-04-01 08:45:00	229.4	216.67	127.52	218.6	75.03	221.12	4.21	992.36	0	0	0	0.88	0.1	0	0	0.16205	441.3	3.31	1.59	41.27
36	2024-04-01 09:00:00	182.46	167.87	114.26	180.6	77.52	174.05	4	992.36	0	0	0	0.88	0.1	0	0	0.162012	441.44	3.3	1.23	45.77
37	2024-04-01 09:15:00	135.55	120.13	85.89	140.15	80.02	128.95	3.25	992.56	0.1	0	0.25	0.88	0.1	0	0.02	0.16302	447.22	3.92	1.33	47.35
38	2024-04-01 09:30:00	90.79	74.2	60.14	97.5	82.54	86.9	2.5	992.76	0.2	0	0.5	0.88	0.1	0	0.04	0.164029	452.99	4.55	1.44	48.93
39	2024-04-01 09:45:00	61.35	35.33	36.47	64.85	84.38	58.51	1.74	992.95	0.3	0	0.75	0.88	0.1	0	0.06	0.165037	458.77	5.17	1.54	50.51
40	2024-04-01 22:00:00	40.88	28.8	19.58	22.4	84.47	44.5	0.98	993.15	0.4	0	1	0.88	0.1	0	0.08	0.166046	464.55	5.79	1.64	52.08
41	2024-04-01 22:15:00	74.08	65.6	37.97	29.1	82.62	67.03	0.89	993.38	0.35	0	1	0.88	0.1	0	0.08	0.166042	465.03	5.87	1.65	52.08
42	2024-04-01 22:30:00	128.6	125	50.84	38.95	80.1	101.66	0.79	993.6	0.29	0	1	0.88	0.1	0	0.08	0.166038	465.5	5.95	1.66	52.08
43	2024-04-01 22:45:00	148.32	144.13	74.29	71.2	77.59	139.79	0.7	993.83	0.23	0	1	0.88	0.11	0	0.08	0.166034	465.98	6.03	1.67	52.07
44	2024-04-01 23:00:00	184.77	182.4	100.79	79.8	75.09	180.22	0.6	994.05	0.18	0	1	0.88	0.11	0	0.08	0.16603	466.46	6.11	1.69	52.07
45	2024-04-01 23:15:00	196.66	202.8	112.85	150.35	72.61	222	0.44	993.96	0.14	0	1	0.88	0.11	0	0.08	0.166015	466.23	6.19	1.68	51.47
46	2024-04-01 23:30:00	227.26	219.73	110.01	119.85	70.16	264.36	0.29	993.86	0.1	0	1	0.88	0.11	0	0.08	0.166	466	6.28	1.67	50.88
47	2024-04-01 23:45:00	204.37	217.33	121.22	104.55	67.74	306.68	0.13	993.77	0.06	0	1	0.88	0.12	0	0.08	0.165985	465.77	6.37	1.66	50.28
48	2024-04-02 00:00:00	210.91	207.33	144.38	123.45	65.37	348.42	-0.02	993.68	0.02	0	1	0.88	0.12	0	0.08	0.165969	465.54	6.46	1.66	49.69
49	2024-04-02 00:15:00	228.39	233.07	161.55	140.65	63.04	389.88	-0.02	993.67	0.02	0	1	0.88	0.12	0	0.07	0.16592	465.65	6.53	1.66	48.31
50	2024-04-02 00:30:00	253.45	253.73	191.38	193	60.78	430.75	-0.02	993.67	0.01	0	1	0.88	0.12	0	0.07	0.16587	465.76	6.6	1.66	46.93
51	2024-04-02 00:45:00	264.77	267.4	214.45	247.35	58.58	469.98	-0.02	993.67	0.01	0	1	0.88	0.12	0	0.07	0.165821	465.88	6.67	1.66	45.55
52	2024-04-02 01:00:00	266.91	273.53	243.42	292.5	56.47	507.26	-0.02	993.66	0	0	1	0.88	0.12	0	0.07	0.165771	465.99	6.74	1.66	44.17
53	2024-04-02 01:15:00	301.12	305.53	244.17	309.35	54.46	542.32	1.14	993.58	0	0	1	0.88	0.12	0	0.07	0.165676	465.5	6.78	1.7	42.18
54	2024-04-02 01:30:00	279.69	292.8	228.06	238.9	52.55	574.9	2.3	993.5	0	0	0.99	0.87	0.12	0	0.07	0.16558	465	6.83	1.74	40.19
55	2024-04-02 01:45:00	298.37	294.93	270.37	261.1	50.76	604.8	3.46	993.43	0	0	0.99	0.87	0.13	0	0.07	0.165485	464.51	6.87	1.78	38.2
56	2024-04-02 02:00:00	333.01	342.33	291.06	288.7	49.11	631.84	4.62	993.35	0	0	0.99	0.87	0.13	0	0.07	0.16539	464.01	6.91	1.83	36.21
57	2024-04-02 02:15:00	359.5	354.8	334.72	356	47.61	655.86	4.71	993.25	0	0	0.93	0.87	0.13	0	0.06	0.165237	463.46	6.89	1.81	35.92
58	2024-04-02 02:30:00	620.46	589.67	440.84	496.7	46.29	676.73	4.79	993.15	0	0	0.88	0.87	0.13	0	0.05	0.165084	462.9	6.87	1.8	35.63
59	2024-04-02 02:45:00	583.34	624.8	521.12	525.6	45.15	694.31	4.87	993.05	0	0	0.83	0.87	0.13	0	0.04	0.164932	462.34	6.85	1.79	35.34
60	2024-04-02 03:00:00	630.44	630.6	524.54	564.8	44.21	708.5	4.96	992.95	0	0	0.78	0.87	0.13	0	0.03	0.164779	461.79	6.83	1.77	35.05
61	2024-04-02 03:15:00	671.32	715.07	554.96	561.65	43.49	719.67	5.11	992.84	0	0	0.63	0.87	0.13	0	0.03	0.164524	461.15	6.7	1.78	34.91
62	2024-04-02 03:30:00	716.5	771.12	556.28	651.85	43	727.88	5.26	992.73	0	0	0.48	0.87	0.13	0	0.02	0.164268	460.52	6.58	1.79	34.76
63	2024-04-02 03:45:00	774.12	796.53	587.63	678.35	42.75	732.63	5.41	992.62	0	0	0.34	0.87	0.13	0	0.02	0.164012	459.88	6.46	1.79	34.61
64	2024-04-02 04:00:00	752.24	807.87	589.86	668.9	42.74	733.79	5.56	992.52	0	0	0.19	0.87	0.13	0	0.01	0.163757	459.25	6.33	1.8	34.46
65	2024-04-02 04:15:00	767.91	794	587.13	656.6	42.96	731.35	6.04	992.34	0	0	0.15	0.87	0.13	0	0.01	0.16333	458.88	6.19	1.87	33.63
66	2024-04-02 04:30:00	775.6	815.8	579.89	628.85	43.43	725.32	6.52	992.17	0	0	0.12	0.87	0.13	0	0.01	0.162902	458.51	6.04	1.95	32.8
67	2024-04-02 04:45:00	752.16	790.8	567.23	620.2	44.12	715.74	7	991.99	0	0	0.08	0.87	0.13	0	0	0.162475	458.14	5.9	2.02	31.98
68	2024-04-02 05:00:00	735.65	770.27	552.04	625.85	45.04	702.67	7.48	991.82	0	0	0.04	0.86	0.13	0	0	0.162048	457.77	5.75	2.09	31.15
69	2024-04-02 05:15:00	720.16	754.27	536.28	606.2	46.15	686.17	7.5	991.79	0	0	0.06	0.86	0.13	0	0	0.161491	457.23	5.66	2.24	30.83
70	2024-04-02 05:30:00	697.12	728.93	515.4	587.4	47.46	666.35	7.51	991.76	0	0	0.07	0.86	0.13	0	0	0.160934	456.69	5.57	2.39	30.51
71	2024-04-02 05:45:00	649.63	695.07	488.49	565.25	48.94	643.31	7.53	991.73	0	0	0.08	0.86	0.13	0	0	0.160377	456.15	5.49	2.54	30.19
72	2024-04-02 06:00:00	542.63	577.13	434.57	507.15	50.57	617.18	7.54	991.7	0	0	0.09	0.86	0.13	0	0	0.15982	455.61	5.4	2.68	29.87
73	2024-04-02 06:15:00	446.44	468.33	363.48	487.35	52.34	588.14	7.6	991.55	0	0	0.24	0.86	0.13	0	0	0.15974	455.13	5.33	2.72	29.42
74	2024-04-02 06:30:00	459.2	449.13	327.95	422.95	54.24	556.37	7.65	991.4	0	0	0.39	0.86	0.13	0	0	0.15966	454.65	5.26	2.76	28.97
75	2024-04-02 06:45:00	473.9	484.2	352.56	345.1	56.24	522.05	7.7	991.25	0	0	0.54	0.86	0.13	0	0	0.15958	454.17	5.19	2.8	28.52
76	2024-04-02 07:00:00	325.55	330.87	260.35	414.4	58.34	485.41	7.76	991.1	0	0	0.69	0.86	0.13	0	0.01	0.1595	453.69	5.13	2.84	28.07
77	2024-04-02 07:15:00	275.5	291.47	235.2	318.85	60.53	446.7	7.62	991.04	0	0	0.75	0.86	0.13	0	0.01	0.1595	453.48	5.09	2.65	28.15
78	2024-04-02 07:30:00	246.32	252.8	208.05	188.4	62.78	406.22	7.48	990.97	0	0	0.81	0.86	0.13	0	0.01	0.1595	453.26	5.05	2.46	28.23
79	2024-04-02 07:45:00	197.81	209.13	207.8	249.05	65.1	364.29	7.34	990.9	0	0	0.87	0.86	0.13	0	0.01	0.1595	453.05	5.02	2.26	28.31
80	2024-04-02 08:00:00	171.13	165.8	152.14	305.4	67.46	321.29	7.21	990.83	0	0	0.93	0.86	0.13	0	0.01	0.1595	452.84	4.98	2.07	28.39
81	2024-04-02 08:15:00	205.81	194.4	140.77	218.25	69.87	277.68	7.07	990.89	0	0	0.71	0.86	0.13	0	0.01	0.1595	452.72	4.99	1.77	29.94
82	2024-04-02 08:30:00	237.56	224.2	141	100.15	72.32	233.96	6.94	990.94	0	0	0.49	0.86	0.13	0	0.01	0.1595	452.61	5.01	1.47	31.49
83	2024-04-02 08:45:00	277.26	269.93	130.58	135.6	74.79	190.79	6.8	991	0	0	0.27	0.85	0.13	0	0.01	0.1595	452.5	5.02	1.17	33.04
84	2024-04-02 09:00:00	200.05	194.8	101.41	113.1	77.28	148.93	6.66	991.06	0	0	0.05	0.85	0.13	0	0	0.1595	452.38	5.03	0.87	34.59
85	2024-04-02 09:15:00	130.97	118.8	88.57	112.95	79.79	109.03	5.57	991.83	0	0	0.04	0.86	0.12	0	0	0.160862	447.14	5.47	1.28	43.61
86	2024-04-02 09:30:00	86.26	72.4	62.34	85.95	82.3	72.59	4.47	992.61	0	0	0.03	0.87	0.11	0	0	0.162225	441.89	5.91	1.7	52.63
87	2024-04-02 09:45:00	53.76	35.6	38.68	55.3	84.32	47.04	3.37	993.38	0	0	0.01	0.87	0.11	0	0	0.163587	436.64	6.34	2.11	61.65
88	2024-04-02 22:00:00	62.5	47.4	21.33	27.9	84.31	58.55	2.27	994.16	0	0	0	0.88	0.1	0	0	0.16495	431.4	6.78	2.53	70.67
89	2024-04-02 22:15:00	92.61	84.07	41.1	55.45	82.29	87.82	2.32	994.34	0	0	0	0.88	0.1	0	0	0.164946	430.94	6.76	2.51	70.54
90	2024-04-02 22:30:00	130.81	124.2	64.82	91.35	79.77	127.08	2.37	994.52	0	0	0	0.88	0.1	0	0	0.164942	430.48	6.75	2.5	70.4
91	2024-04-02 22:45:00	167.06	163.53	91.62	132.5	77.26	168.42	2.42	994.7	0	0	0	0.88	0.1	0	0	0.164938	430.01	6.73	2.48	70.27
92	2024-04-02 23:00:00	207.84	204.4	120.07	172.2	74.76	211.18	2.46	994.87	0	0	0	0.88	0.1	0	0	0.164935	429.55	6.71	2.47	70.13
93	2024-04-02 23:15:00	246.23	247.13	152.09	213.8	72.28	254.29	2.45	994.86	0	0	0	0.88	0.1	0	0	0.164858	428.89	6.7	2.55	69.9
94	2024-04-02 23:30:00	297.9	300.47	165.66	260.1	69.82	297.2	2.43	994.85	0	0	0	0.88	0.1	0	0	0.164782	428.23	6.68	2.63	69.66
95	2024-04-02 23:45:00	343.98	353.67	202.88	303.2	67.4	339.49	2.41	994.83	0	0	0	0.88	0.1	0	0	0.164706	427.57	6.66	2.72	69.42
96	2024-04-03 00:00:00	387.98	399.87	243.22	347.5	65.02	380.79	2.39	994.82	0	0	0	0.88	0.1	0	0	0.164629	426.91	6.65	2.8	69.18
97	2024-04-03 00:15:00	428.84	446.4	285.89	392.45	62.7	421.92	2.4	994.78	0	0	0	0.88	0.1	0	0	0.164454	426.5	6.61	2.81	67.4
98	2024-04-03 00:30:00	470.28	490.87	330.19	432.85	60.43	462.61	2.41	994.74	0	0	0	0.88	0.1	0	0	0.164278	426.08	6.56	2.81	65.61
99	2024-04-03 00:45:00	510.81	534.6	374.67	480.2	58.23	501.45	2.41	994.69	0	0	0	0.88	0.1	0	0	0.164103	425.66	6.52	2.82	63.82
100	2024-04-03 01:00:00	546.45	573.27	397.76	510.2	56.11	538.2	2.42	994.65	0	0	0	0.88	0.1	0	0	0.163927	425.24	6.48	2.83	62.04
101	2024-04-03 01:15:00	581.28	610.13	419.31	547	54.09	572.6	3.52	994.69	0	0	0.01	0.88	0.1	0	0	0.163592	425.49	6.42	2.82	58.01
102	2024-04-03 01:30:00	614.86	644.6	446.63	586	52.18	604.45	4.63	994.74	0	0	0.02	0.88	0.1	0	0	0.163256	425.74	6.37	2.82	53.98
103	2024-04-03 01:45:00	643.32	675	480.49	617.7	50.38	633.55	5.73	994.78	0	0	0.03	0.88	0.1	0	0	0.16292	425.99	6.31	2.81	49.96
104	2024-04-03 02:00:00	670.39	702.67	519.99	631.75	48.73	659.73	6.84	994.83	0	0	0.05	0.88	0.1	0	0	0.162585	426.24	6.26	2.81	45.93
105	2024-04-03 02:15:00	677.31	714.6	551.17	641.5	47.23	682.85	6.93	994.74	0	0	0.07	0.88	0.1	0	0	0.161929	426.48	6.19	2.92	44.91
106	2024-04-03 02:30:00	643.01	673.6	567.72	637.85	45.9	702.77	7.01	994.64	0	0	0.1	0.88	0.1	0	0.01	0.161272	426.73	6.12	3.03	43.9
107	2024-04-03 02:45:00	682.47	716.13	572.1	661.5	44.76	719.37	7.1	994.55	0	0	0.13	0.88	0.1	0	0.01	0.160616	426.97	6.04	3.14	42.89
108	2024-04-03 03:00:00	711.19	727.6	572.25	671.05	43.82	732.57	7.19	994.46	0	0	0.16	0.88	0.1	0	0.01	0.15996	427.21	5.97	3.25	41.87
109	2024-04-03 03:15:00	694.33	736.13	571.89	675.05	43.1	743.47	7.27	994.41	0	0.01	0.23	0.88	0.1	0	0.02	0.159811	427.5	5.9	3.41	40.66
110	2024-04-03 03:30:00	711.27	744.53	573.76	671.2	42.61	752.03	7.35	994.37	0	0.02	0.29	0.88	0.1	0	0.02	0.159663	427.79	5.83	3.57	39.46
111	2024-04-03 03:45:00	711.95	732.73	575.84	673.8	42.36	756.99	7.43	994.33	0	0.03	0.36	0.88	0.1	0	0.03	0.159514	428.08	5.76	3.74	38.25
112	2024-04-03 04:00:00	775.81	795.73	585.79	683.3	42.36	758.35	7.51	994.28	0	0.04	0.43	0.88	0.1	0	0.03	0.159365	428.36	5.69	3.9	37.04
113	2024-04-03 04:15:00	633.13	676.2	583.1	671.55	42.59	756.09	7.83	994.13	0	0.03	0.5	0.88	0.1	0	0.03	0.159365	428.66	5.64	3.99	34.81
114	2024-04-03 04:30:00	752.38	771.87	579.71	665.4	43.06	750.24	8.15	993.97	0	0.02	0.57	0.88	0.1	0	0.03	0.159365	428.97	5.59	4.09	32.58
115	2024-04-03 04:45:00	754.35	788.4	573.78	644.9	43.77	740.82	8.47	993.81	0	0.01	0.64	0.88	0.1	0	0.03	0.159365	429.27	5.54	4.18	30.34
116	2024-04-03 05:00:00	743.59	775.67	557.49	645.95	44.69	727.89	8.79	993.65	0	0	0.72	0.88	0.1	0	0.03	0.159365	429.57	5.49	4.28	28.11
117	2024-04-03 05:15:00	730.05	762.2	538.82	626	45.82	711.53	8.81	993.61	0	0	0.75	0.88	0.1	0	0.03	0.159365	430.09	5.44	4.35	27.65
118	2024-04-03 05:30:00	702.09	734.53	513.03	601.55	47.13	691.82	8.83	993.57	0	0	0.78	0.88	0.1	0	0.04	0.159365	430.61	5.38	4.42	27.19
119	2024-04-03 05:45:00	702.62	722.8	498.31	573.8	48.62	668.88	8.86	993.53	0	0	0.81	0.88	0.1	0	0.04	0.159365	431.12	5.32	4.49	26.73
120	2024-04-03 06:00:00	676.37	697.93	462.73	532.2	50.26	642.83	8.88	993.49	0	0	0.85	0.88	0.1	0	0.04	0.159365	431.64	5.26	4.56	26.27
121	2024-04-03 06:15:00	542.83	583.4	350.2	513.9	52.05	613.75	8.87	993.43	0	0	0.86	0.88	0.1	0	0.04	0.159365	432.15	5.25	4.63	26.2
122	2024-04-03 06:30:00	585.88	588	379.33	476.3	53.95	581.8	8.86	993.37	0	0	0.87	0.88	0.1	0	0.05	0.159365	432.65	5.23	4.69	26.12
123	2024-04-03 06:45:00	564.27	605.47	374.38	408.85	55.96	547.27	8.85	993.31	0	0	0.89	0.88	0.1	0	0.05	0.159365	433.16	5.22	4.75	26.05
124	2024-04-03 07:00:00	516.48	529.87	311.43	102.35	58.07	510.36	8.84	993.26	0	0	0.9	0.88	0.1	0	0.05	0.159365	433.66	5.21	4.81	25.98
125	2024-04-03 07:15:00	197.28	250.73	310.54	394.3	60.26	471.32	8.47	993.39	0	0	0.92	0.88	0.1	0	0.05	0.159365	434.05	5.22	4.82	28.03
126	2024-04-03 07:30:00	293.83	228.33	205.31	409	62.52	430.4	8.09	993.53	0	0	0.94	0.88	0.1	0	0.05	0.159365	434.44	5.23	4.82	30.08
127	2024-04-03 07:45:00	241.14	280.4	250.81	346.6	64.84	387.92	7.72	993.67	0	0	0.95	0.88	0.1	0	0.04	0.159365	434.83	5.24	4.83	32.13
128	2024-04-03 08:00:00	264.04	244.73	155.51	312.2	67.22	344.22	7.34	993.81	0	0	0.97	0.88	0.1	0	0.04	0.159365	435.21	5.25	4.84	34.18
129	2024-04-03 08:15:00	275.01	277.53	152.92	151.1	69.63	299.69	7.28	993.95	0	0	0.92	0.88	0.1	0	0.04	0.159365	435.06	5.29	4.55	34.79
130	2024-04-03 08:30:00	206.04	210.53	165.07	196.3	72.08	254.82	7.22	994.09	0	0	0.87	0.88	0.1	0	0.03	0.159365	434.91	5.33	4.26	35.41
131	2024-04-03 08:45:00	121.35	141.6	132.49	194.05	74.55	210.25	7.15	994.23	0	0	0.82	0.88	0.1	0	0.02	0.159365	434.75	5.37	3.97	36.03
132	2024-04-03 09:00:00	54.71	48.27	103.91	70.65	77.05	166.58	7.09	994.37	0	0	0.77	0.88	0.1	0	0.01	0.159365	434.6	5.41	3.69	36.64
133	2024-04-03 09:15:00	107	85.53	77.45	132.9	79.56	124.02	6.04	995.98	0	0	0.58	0.88	0.1	0	0.01	0.160881	430.96	5.12	3.41	40.31
134	2024-04-03 09:30:00	60.46	59.13	64.54	96.95	82.07	84.05	4.99	997.59	0	0	0.39	0.88	0.1	0	0.01	0.162397	427.32	4.82	3.14	43.97
135	2024-04-03 09:45:00	48.07	39.47	40.88	63.65	84.17	54.29	3.94	999.2	0	0	0.19	0.88	0.1	0	0	0.163913	423.69	4.52	2.86	47.63
136	2024-04-03 22:00:00	71.65	56.47	23.07	34.95	84.15	74.21	2.89	1000.81	0	0	0	0.88	0.1	0	0	0.165428	420.05	4.23	2.59	51.3
137	2024-04-03 22:15:00	107.08	98.07	44.21	73.7	81.96	112.46	2.95	1000.96	0	0	0	0.88	0.1	0	0	0.165428	419.96	4.23	2.6	51.25
138	2024-04-03 22:30:00	152.35	145.8	67.93	119.55	79.44	159	3.01	1001.11	0	0	0	0.88	0.1	0	0	0.165428	419.86	4.24	2.6	51.2
139	2024-04-03 22:45:00	200.03	196.27	95.38	164.2	76.93	206.92	3.08	1001.26	0	0	0	0.88	0.1	0	0	0.165428	419.77	4.24	2.61	51.15
140	2024-04-03 23:00:00	246.64	246.4	123.84	213.75	74.42	255.41	3.14	1001.41	0	0	0	0.88	0.1	0	0	0.165428	419.67	4.25	2.62	51.1
141	2024-04-03 23:15:00	293.4	298.2	156.65	264.9	71.94	303.88	3.2	1001.45	0	0	0	0.88	0.1	0	0	0.165383	419.55	4.24	2.6	50.71
142	2024-04-03 23:30:00	339.83	350.07	190.45	302.55	69.49	351.87	3.25	1001.49	0	0	0	0.88	0.1	0	0	0.165337	419.43	4.24	2.57	50.32
143	2024-04-03 23:45:00	385.47	401.07	208.56	348.65	67.06	398.97	3.3	1001.52	0	0	0	0.88	0.1	0	0	0.165291	419.31	4.23	2.55	49.93
144	2024-04-04 00:00:00	430.58	450.8	248.95	385.5	64.68	444.84	3.36	1001.56	0	0	0	0.88	0.1	0	0	0.165245	419.19	4.23	2.53	49.53
145	2024-04-04 00:15:00	473.44	498.07	292.53	433.45	62.35	489.06	3.47	1001.48	0	0	0	0.88	0.1	0	0	0.165139	419.31	4.23	2.57	49.41
146	2024-04-04 00:30:00	515.22	542.73	336.9	480.45	60.08	531.41	3.58	1001.4	0	0	0	0.88	0.1	0	0	0.165032	419.44	4.22	2.6	49.29
147	2024-04-04 01:00:00	591.69	625.4	427.72	563.1	55.76	609.77	3.81	1001.24	0	0	0	0.88	0.1	0	0	0.164818	419.7	4.21	2.67	49.04
148	2024-04-04 01:15:00	626.34	661.2	470.95	592.75	53.73	645.38	5.12	1001.21	0	0	0	0.88	0.1	0	0	0.164608	419.99	4.21	2.83	44.5
149	2024-04-04 01:30:00	656.92	693.93	490.4	622.5	51.81	678.36	6.43	1001.18	0	0	0	0.88	0.1	0	0	0.164398	420.29	4.2	3	39.97
150	2024-04-04 01:45:00	687.41	725	522.9	647.95	50.01	708.54	7.75	1001.15	0	0	0	0.88	0.1	0	0	0.164189	420.59	4.2	3.16	35.44
151	2024-04-04 02:00:00	714.76	754.6	551	661.65	48.35	735.77	9.06	1001.12	0	0	0	0.88	0.1	0	0	0.163979	420.88	4.2	3.33	30.91
152	2024-04-04 02:15:00	739.84	779.67	577.71	683.2	46.85	759.92	9.1	1000.97	0	0	0	0.88	0.1	0	0	0.163548	421.15	4.19	3.54	30.43
153	2024-04-04 02:30:00	761.23	802.27	597.54	716.85	45.52	780.84	9.14	1000.81	0	0	0	0.88	0.1	0	0	0.163117	421.41	4.19	3.75	29.95
154	2024-04-04 02:45:00	776.44	818.73	606.97	719.2	44.37	798.45	9.18	1000.66	0	0	0	0.88	0.1	0	0	0.162686	421.68	4.18	3.97	29.47
155	2024-04-04 03:00:00	790.12	831.73	612.38	727.2	43.44	812.66	9.23	1000.5	0	0	0	0.88	0.1	0	0	0.162255	421.94	4.18	4.18	28.99
156	2024-04-04 03:15:00	799.34	840.67	616.78	725.65	42.72	822.85	9.23	1000.32	0	0	0	0.88	0.1	0	0	0.161507	422.26	4.17	4.23	28.88
157	2024-04-04 03:30:00	805.73	846.13	617.63	730.75	42.23	828.99	9.24	1000.14	0	0	0	0.88	0.1	0	0	0.160759	422.59	4.17	4.27	28.77
158	2024-04-04 03:45:00	809.04	851.13	611.46	728.15	41.98	831.56	9.24	999.95	0	0	0	0.88	0.1	0	0	0.160012	422.91	4.17	4.32	28.66
